setup_id,month,room_name,device_name,watts,hours,quantity,monthly_kwh,monthly_bill,cost_per_kwh,daily_wh,usage_level,season,is_heavy_appliance
963,Aug,drawing room,Computer,113.0,5.7,3.0,57.97,463.75,8.0,1932.3,medium,Summer,False
995,Jul,BEDROOM,TV,159.0,5.9,3.0,84.43,675.43,8.0,2814.3,Medium,Summer,False
494,Nov,KITCHEN,fridge,175.0,22.7,3.0,357.52,2860.2,8.0,11917.5,high,Autumn,True
362,Aug,Bedroom,Light,37.0,3.7,3.0,12.32,98570.0,8000.81,410.7,Low,Summer,False
215,Sep,Drawing_Room,AC,1654.0,6.7,2.0,664.91,5319.26,8.0,22163.6,HIGH,Autumn,True
589,Nov,,Fan,59.0,11.3,2.0,40.0,320.02,8.0,1333.4,Medium,Autumn,False
146,May, Dining Room  ,FAN,52.0,unknown,2.0,46.8,374.4,8.0,,Medium,Spring,False
752,Apr,drawing room,TV,107.0,,1.0,11.56,92.45,8.0,,low,Spring,False
274,October,Living Room,TV,156.0,5.4,3.0,75.82,606.53,8.0,2527.2,Medium,,False
51,Apr, Living Room  ,fan,67.0,14.4,2.0.0,57.89,463.1,8.0,,medium,Spring,False
748,May,DRAWING ROOM,Fan,74.0,6.4,2.0,28.42,227.33,8.0,947.2,medium,Spring,False
643,Mar,LIVING ROOM,Light,29.0,3.2,3.0,8.35,66.82,8.0,278.4,Low,Spring,False
253,Jul,Kitchen,Fridge,283.0,23.6,1.0,200.36,1602.91,8.0,6678.8,HIGH,Summer,True
834,May,drawing room,Light,14.0,3.3,3.0,4.16,33.26,8.0,138.6,low,Spring,False
387,Aug,Dining Room,fan,78.0,11.1,1.0.0,25.97,207.79,8.0,,medium,Summer,False
606,Jun,KITCHEN, Fridge  ,219.0,22.7,50.0,149.14,1193.11,8.0,248565.0,high,Summer,True
632,March,living room,,132.0,3.0,2.0,23.76,190.08,8.0,792.0,Med,,
245,April,Dining Room,Fan,77.0,6.9,3.0,47.82,382.54,8.0,1593.9,Med,,False
167,Nov, Living Room  , TV  ,104.0,-2.8,3.0,26.21,209.66,8.0,-873.6,medium,Autumn,False
368,Apr,Bedroom,fan,76.0,11.2,3.0,76.61,612.86,8.0,2553.6,Med,Spring,False
167,Jan,Drawing Room, Fan  ,72.0,7.9,3.0,51.19,409.54,8.0,1706.4,Med,Winter,False
582,May,KITCHEN,Microwave,612.0,0.3,2.0.0,,88.13,,,,Spring,True
344,Feb,Kitchen, Light  ,16.0,9.5,3.0,13.68,,,456.0,low,Winter,False
12,Sep,Living Room,LIGHT,39.0,5.1,3.0,17.9,143.21,8.0,596.7,low,Autumn,False
38,September,DRAWING ROOM,Light,40.0,9.6,3.0.0,34.56,276.48,8.0,,Medium,,False
764,June,Drawing_Room,AC,1162.0,2.7,2.0,188.24,1505.95,8.0,6274.8,HIGH,,True
195,Dec,Dining Room,LIGHT,35.0,8.7,1.0,9.13,73.08,8.0,304.5,Low,Winter,False
385,,,not sure,279.0,4.6,2.0,77.0,616.03,8.0,2566.8,Med,,False
154,Dec,Kitchen,fridge,102.0,18.3,3.0,167.99,1343.95,8.0,5599.8,high,Winter,True
831,Jun, Bathroom  ,?,58.0,10.4,3.0,54.29,434.3,8.0,1809.6,Medium,Summer,False
520,May, Bedroom  ,FAN,75.0,11.1,1.0,24.98,199.8,8.0,832.5,medium,Spring,False
592,June, Dining Room  ,Fan,79.0,17.4,3.0,123.71,,,4123.8,High,,False
953,June, Living Room  ,AC,914.0,,3.0.0,732.11,5856.91,8.0,,HIGH,,True
606,March, Bedroom  ,TV,130.0,2.7,1.0,10.53,84.24,8.0,351.0,low,,False
824,Jan,Kitchen,Fan,73.0,7.1,2.0,31.1,248.78,8.0,1036.6,Medium,Winter,False
555,May,DRAWING ROOM,TV,73.0,2.6,3.0,17.08,136.66,8.0,569.4,low,Spring,False
943,May,Drawing_Room,AC,1221.0,6.1,1.0,223.44,1787.54,8.0,7448.1,HIGH,Spring,True
148,Feb,LIVING ROOM,TV,187.0,2.3,2.0,25.81,206.45,8.0,860.2,medium,Winter,False
228,jan, Living Room  ,AC,1850.0,3.8,2.0,421.8,3374.4,8.0,14060.0,high,,True
569,oct,Kitchen,fridge,251.0,23.4,2.0,352.4,2819.23,8.0,11746.8,High,,True
787,Aug,Drawing Room,COMPUTER,359.0,4.5,3.0,145.4,1163.16,8.0,4846.5,HIGH,Summer,False
413,Feb,KITCHEN,Fan,76.0,7.8,,,284.54,,,,Winter,False
333,مجهول,kitchen,Light,26.0,4.7,1.0,3.67,29.33,7.99,122.2,Low,,False
38,February,Bedroom,Heater,875.0,2.2,3.0,173.25,1386.0,8.0,5775.0,High,,False
 268 ,May,drawing room,Light,12.0,,2.0,6.7,53.57,8.0,,Low,Spring,False
694,Dec,drawing room,,22.0,7.4,2.0,9.77,78.14,8.0,325.6,low,Winter,
301,Mar,Bathroom,light,37.0,5.7,2.0,12.65,,,421.8,Low,Spring,False
607,May,Bedroom,Light,14.0,3.6,3.0,4.54,36.29,7.99,151.2,low,Spring,False
203,Aug,living room,AC,1591.0,6.4,2.0,610.94,4887.55,8.0,20364.8,high,Summer,True
520,May,, AC  ,1610.0,7.3,3.0,1057.77,8462160.0,8000.0,35259.0,HIGH,Spring,True
758,sep,Kitchen,light,23.0,3.3,3.0,6.83,54.65,8.0,227.7,Low,,False
650,apr,Drawing Room, Computer  ,302.0,,1.0,31.71,253.68,8.0,,Med,,False
163,Feb,LIVING ROOM, AC  ,1425.0,6.9,3.0,884.92,7079.4,8.0,29497.5,High,Winter,True
111,Feb,kitchen,Fridge,145.0,22.7,2.0.0,197.49,1579.92,8.0,,high,Winter,True
605,October,Bathroom,Light,40.0,5.5,3.0,0.0198,158.4,8000.0,660.0,Low,,False
971,Sep,Drawing Room,Fan,61.0,11.5,3.0,63.13,505.08,8.0,2104.5,medium,Autumn,False
862,Nov, Living Room  , Computer  ,277.0,2.9,1.0,24.1,192.79,8.0,803.3,medium,Autumn,False
420,mar, Living Room  ,AC,1583.0,8.8,1.0,417.91,3343.3,8.0,13930.4,high,,True
284,Aug,BEDROOM,Fan,73.0,14.6,2.0,63.95,511.58,8.0,2131.6,Medium,Summer,False
142,May,Living Room,Computer,322.0,,1.0,26.08,208.66,8.0,,Medium,Spring,False
214,mar,Kitchen,LIGHT,20.0,3.6,3.0,6.48,51.84,8.0,216.0,low,,False
522,Feb,Drawing Room,computer,269.0,5.0,1.0,40.35,322.8,8.0,1345.0,Med,Winter,False
17,Mar,Drawing Room,TV,87.0,2.0,3.0.0,0.01566,125.28,8000.0,,Low,Spring,False
770,Dec,Drawing Room, AC  ,1016.0,5.5,3.0,502.92,4023.36,8.0,16764.0,HIGH,Winter,True
547,Jul,Drawing_Room,Light,17.0,6.7,1.0,3.42,27.34,7.99,113.9,Low,Summer,False
664,Jun,Bathroom,Washing Machine,738.0,0.6,3.0,39.85,318.82,8.0,1328.4,Medium,Summer,True
821,may,BEDROOM,Fan,79.0,16.5,2.0,78.21,625.68,8.0,2607.0,Medium,,False
792,Jul,unknown,Light,37.0,9.7,2.0,21.53,172.27,8.0,717.8,medium,Summer,False
110,Oct, Bathroom  ,HEATER,1372.0,3.0,2.0,246.96,,,8232.0,high,Autumn,False
804,August,drawing room,Computer,185.0,4.7,1.0,26.09,208.68,8.0,869.5,Medium,,False
998,Feb,Kitchen,,72.0,8.7,2.0,37.58,300.67,8.0,1252.8,Medium,Winter,
670,Oct,Kitchen,microwave,725.0,0.3,1.0,6.53,52.2,7.99,217.5,Low,Autumn,True
295,May,Kitchen,WASHING MACHINE,485.0,1.1,1.0,16.0,128.04,8.0,533.5,low,Spring,True
767,Aug,KITCHEN, Fridge  ,147.0,22.9,1.0,100.99,807.91,8.0,3366.3,HIGH,Summer,True
353,Aug,Drawing_Room,Fan,80.0,8.8,1.0,21.12,168.96,8.0,704.0,Med,Summer,False
405,Jan,dining room,Light,,5.7,2.0.0,6.16,49.25,8.0,,low,Winter,False
863,Aug, Living Room  ,,199.0,440.00000000000006,2.0,52.54,420.29,8.0,175120.0,medium,Summer,
945,mar,Bedroom,heater,1344.0,1.8,3.0,217.73,1741.82,8.0,7257.6,High,,False
601,Apr,Living Room,AC,1402.0,4.6,1.0,193.48,1547.81,8.0,6449.2,HIGH,Spring,True
 583 ,Apr,Kitchen,MICROWAVE,1067.0,0.2,3.0,19.21,153.65,8.0,640.2,Low,Spring,True
826,MAR, Dining Room  ,Light,10.0,6.8,3.0,6.12,48.96,8.0,204.0,Low,,False
330,May,kitchen,light,23.0,6.1,2.0,8.42,67.34,8.0,280.6,low,Spring,False
755,OCT,DINING ROOM,Fan,80.0,12.2,3.0,87.84,702.72,8.0,2928.0,Medium,,False
362,sep,living room,AC,1187.0,7.5,1.0.0,267.07,2136.6,8.0,,HIGH,,True
442,May,LIVING ROOM,Fan,52.0,7.5,3.0,35.1,280.8,8.0,1170.0,medium,Spring,False
519,, Drawing Room  ,Computer,,,3.0,115.87,926.93,8.0,,HIGH,,False
284,November,Bedroom,TV,123.0,3.0,1.0,11.07,88.56,8.0,369.0,low,,False
713,jun,Bathroom,Light,14.0,6.2,1.0,2.6,20.83,8.01,86.8,low,,False
284,Dec,dining room,fan,61.0,10.7,3.0,58.74,469940.0,8000.34,1958.1,Medium,Winter,False
925,Apr,LIVING ROOM,Fan,72.0,,3.0,39.53,316.22,8.0,,Medium,Spring,False
127,JAN,,Light,12.0,7.7,2.0,5.54,44.35,8.01,184.8,low,,False
151,JAN,Living Room,light,40.0,6.4,2.0,,122.88,,512.0,,,False
27,?,KITCHEN,Microwave,756.0,0.3,2.0,13.61,108.86,8.0,453.6,Low,,True
271,Sep,Kitchen,Fan,67.0,14.2,2.0,57.08,456.67,8.0,1902.8,medium,Autumn,False
727,sep,BEDROOM,Light,26.0,6.4,3.0,14.98,119.81,8.0,499.2,low,,False
 727 ,Jul,LIVING ROOM,Computer,260.0,2.7,2.0,42.12,,,1404.0,medium,Summer,False
2,Apr,dining room,Light,-27.0,8.3,2.0,13.45,107.57,8.0,-448.2,Low,Spring,False
373,January,KITCHEN, Light  ,37.0,9.9,1.0,10.99,87.91,8.0,366.3,Low,,False
138,Mar,Drawing Room,TV,112.0,440.00000000000006,1.0,14.78,118.27,8.0,49280.0,Low,Spring,False
626,Oct,DRAWING ROOM,Light,37.0,4.2,2.0,9.32,74.59,8.0,310.8,Low,Autumn,False
 277 ,Jun,BEDROOM,ac,1539.0,9.3,3.0,1288.14,10305.14,8.0,42938.1,high,Summer,True
679,Feb,Drawing Room,Light,10.0,9.6,2.0,,46.08,,192.0,,Winter,False
995,Aug, Drawing Room  ,Fan,74.0,15.3,3.0,101.9,815.18,8.0,3396.6,High,Summer,False
46,Dec, Living Room  ,Computer,163.0,4.9,2.0,47.92,383.38,8.0,1597.4,medium,Winter,False
305,October,Dining Room,Light,33.0,8.4,3.0,24.95,199.58,8.0,831.6,Med,,False
242,Aug,Kitchen,WASHING MACHINE,510.0,1.3,3.0,59.67,477.36,8.0,1989.0,Medium,Summer,True
243,jan,Bathroom,WASHING MACHINE,629.0,1.8,1.0.0,33.97,271.73,8.0,,Medium,,True
45,Nov,Kitchen,Fan,87.0,13.4,2.0,69.95,559.58,8.0,2331.6,Medium,Autumn,False
915,Nov,Bedroom,Computer,156.0,2.3,3.0,32.29,258.34,8.0,1076.4,medium,Autumn,False
678,Jul,Bedroom,Light,34.0,6.9,2.0,14.08,112.61,8.0,469.2,Low,Summer,False
547,Jan,Living Room,Light,37.0,6.4,2.0,14.21,113.66,8.0,473.6,low,Winter,False
847,Jul,Bedroom,COMPUTER,256.0,2.2,3.0,50.69,405.5,8.0,1689.6,Medium,Summer,False
392,Mar,,Computer,238.0,3.0,1.0,0.02142,171.36,8000.0,714.0,Low,Spring,False
547,Mar,KITCHEN,Fridge,226.0,20.0,1.0,,1084.8,,4520.0,,Spring,True
183,Feb,LIVING ROOM,AC,-1926.0,9.5,3.0,1646.73,13173.84,8.0,-54891.0,High,Winter,True
370,Dec,Kitchen,Fan,83.0,7.8,2.0,38.84,310.75,8.0,1294.8,medium,Winter,False
919,Nov,Living Room,computer,,,2.0,25.34,202750.0,8001.18,,Med,Autumn,False
607,December,Kitchen,Light,17.0,-,1.0.0,4.49,35.9,8.0,,low,,False
372,Nov,Bedroom,Computer,345.0,8.5,3.0,,2111.4,,8797.5,,Autumn,False
969,April,Kitchen,Light,29.0,3.7,1.0,3.22,25.75,8.0,107.3,low,,False
418,Jun,Kitchen,Fan,81.0,6.7,3.0,48.84,390.74,8.0,1628.1,Medium,Summer,False
428,Jul, Kitchen  , Washing Machine  ,693.0,1.1,2.0,45.74,365.9,8.0,1524.6,medium,Summer,True
576,Apr,not sure,fan,56.0,16.2,2.0,54.43,435.46,8.0,1814.4,Med,Spring,False
826,Jul, Bedroom  ,Fan,90.0,15.5,2.0.0,83.7,669.6,8.0,,Medium,Summer,False
446,Dec,Unknown,Fan,90.0,error,,49.68,,,,Medium,Winter,False
795,July,drawing room,COMPUTER,124.0,4.2,1.0,15.62,124.99,8.0,520.8,low,,False
184,Mar,DINING ROOM,light,16.0,9.0,2.0.0,8.64,69.12,8.0,,low,Spring,False
295,Aug,BATHROOM, Heater  ,1327.0,1.8,3.0,214.97,1719.79,8.0,7165.8,High,Summer,False
768,JUL,Bedroom,Fan,88.0,11.2,1.0,29.57,236.54,8.0,985.6,Medium,,False
734,Sep, Living Room  , TV  ,126.0,3.7,2.0,27.97,223.78,8.0,932.4,Medium,Autumn,False
430,Apr,Living Room,LIGHT,38.0,5.0,3.0,17.1,136.8,8.0,570.0,low,Spring,False
882,May,Drawing Room,TV,124.0,5.8,1.0,21.58,172.61,8.0,719.2,Medium,Spring,False
94,December, Bathroom  ,FAN,75.0,17.7,3.0,119.47,955.8,8.0,3982.5,high,,False
476,Apr,living room,Computer,170.0,8.5,150.0,130.05,1040.4,8.0,216750.0,High,Spring,False
667,Dec,drawing room,computer,347.0,8.0,,166.56,1332.48,8.0,,HIGH,Winter,False
 652 ,JUN,DRAWING ROOM,tv,114.0,5.4,1.0,error,147.74,,615.6,,,False
561,May,Living Room,Computer,163.0,8.6,3.0.0,126.16,1009.3,8.0,,High,Spring,False
593,December,KITCHEN, Fan  ,52.0,13.8,2.0,43.06,344.45,8.0,1435.2,Medium,,False
507,August,Kitchen,n/a,81.0,15.1,2.0,73.39,587.09,8.0,2446.2,medium,,False
418,jan,bathroom,Light,29.0,3.2,2.0,5.57,44.54,8.0,185.6,Low,,False
556,Apr,,Light,36.0,3.2,2.0.0,6.91,55.3,8.0,,Low,Spring,False
133,Sep,KITCHEN,Washing Machine,669.0,1.5,1.0,30.11,240.84,8.0,1003.5,Med,Autumn,True
697,Feb,Kitchen, Microwave  ,722.0,0.4,1.0,8.66,69.31,8.0,288.8,low,Winter,True
273,Apr,Bedroom,Fan,81.0,14.8,3.0,107.89,863.14,8.0,3596.4,HIGH,Spring,False
767,September,KITCHEN,Light,,7.8,2.0,8.89,71.14,8.0,,low,,False
603,Feb,Bedroom,Light,40.0,5.0,1.0,6.0,48.0,8.0,200.0,Low,Winter,False
704,Nov, Kitchen  ,FAN,88.0,14.9,3.0,118.01,944.06,8.0,3933.6,HIGH,Autumn,False
868,Aug,Drawing Room,TV,114.0,2.8,3.0,28.73,229.82,8.0,957.6,Med,Summer,False
834,Mar, Drawing Room  ,Computer,302.0,8.5,1.0,77.01,616.08,8.0,2567.0,Med,Spring,False
237,Oct,Living Room,Light,29.0,5.5,2.0,,76560.0,,319.0,,Autumn,False
231,,kitchen, Washing Machine  ,403.0,1.6,3.0,58.03,464.26,8.0,1934.4,Medium,,True
905,October,Kitchen, Washing Machine  ,,1.5,3.0.0,103.81,830.52,8.0,,high,,True
273,Feb,bedroom,Light,22.0,9.4,3.0,18.61,148.9,8.0,620.4,low,Winter,False
898,January,Bathroom,Fan,55.0,10.4,3.0.0,,411.84,,,,,False
475,Nov,Living Room,AC,1538.0,3.6,1.0,166.1,1328.83,8.0,5536.8,High,Autumn,True
919,Oct,Bedroom,مش عارف,1960.0,4.0,1.0,235.2,1881.6,8.0,7840.0,high,Autumn,False
595,Oct, Drawing Room  , Fan  ,68.0,9.7,3.0,59.36,,,1978.8,medium,Autumn,False
763,aug,KITCHEN,Fridge,168.0,23.2,1.0,116.93,935.42,8.0,3897.6,High,,True
841,Oct,Kitchen,Light,26.0,6.3,1.0,4.91,39.31,8.01,163.8,Low,Autumn,False
216,dec, Kitchen  ,light,17.0,,1.0,3.26,26.11,8.01,,Low,,False
138,Aug,Bedroom,Computer,352.0,3.4,1.0,35.9,,,1196.8,medium,Summer,False
828,dec,Drawing Room,COMPUTER,303.0,?,3.0,139.08,1112.62,8.0,,High,,False
205,Oct,Kitchen,Light,12.0,670.0,3.0.0,7.24,57.89,8.0,,low,Autumn,False
358,MAR,drawing room,Computer,126.0,8.0,2.0,60.48,483.84,8.0,2016.0,Medium,,False
707,Apr,Living Room,Light,24.0,6.7,2.0,9.65,77.18,8.0,321.6,Low,Spring,False
697,Apr,Bedroom, Computer  ,274.0,4.9,2.0,80.56,644.45,8.0,2685.2,medium,Spring,False
108,October, Dining Room  ,Light,14.0,8.3,3.0,10.46,83.66,8.0,348.6,Low,,False
26,Jul,Living Room,TV,103.0,2.7,3.0.0,25.03,200.23,8.0,,Med,Summer,False
401,July,Bedroom,ac,1616.0,4.9,3.0,712.66,5701.25,8.0,23755.2,High,,True
565,nov,BEDROOM, AC  ,1689.0,10.0,3.0,1520.1,12160.8,8.0,50670.0,HIGH,,True
181,Dec,,fan,53.0,9.4,2.0,29.89,239.14,8.0,996.4,Med,Winter,False
101,Sep,Kitchen,fan,82.0,9.3,2.0,45.76,366.05,8.0,1525.2,Med,Autumn,False
678,December,Bedroom,TV,183.0,2.9,3.0,47.76,382.1,8.0,1592.1,Med,,False
532,March, Bedroom  ,Light,31.0,8.8,2.0,,130.94,,545.6,,,False
758,Nov,Bedroom,TV,195.0,4.7,1.0,27.5,219.96,8.0,916.5,Med,Autumn,False
291,aug,bedroom,Computer,-,5.2,3.0,145.08,1160.64,8.0,,high,,False
882,July,Drawing_Room,ac,1655.0,3.5,2.0,,2780.4,,11585.0,,,True
754,February,Kitchen,Washing Machine,772.0,60.0,2.0,27.79,222.34,8.0,92640.0,Med,,True
390,Sep,Living Room,Fan,,16.1,2.0,56.03,448.22,8.0,,Med,Autumn,False
256,Nov,Kitchen,Washing Machine,533.0,0.8,1.0,12.79,102.34,8.0,426.4,low,Autumn,True
550,aug,Drawing_Room,TV,190.0,3.4,3.0,58.14,465.12,8.0,1938.0,Medium,,False
949,Sep,DRAWING ROOM,,150.0,8.2,2.0,73.8,590.4,8.0,2460.0,Med,Autumn,
975,May, Living Room  ,AC,1293.0,6.7,1.0,259.89,2079.14,8.0,8663.1,High,Spring,True
795,May,LIVING ROOM,AC,-972.0,4.9,1.0,142.88,1143.07,8.0,-4762.8,high,Spring,True
642,Nov,Drawing Room,AC,1964.0,3.2,2.0.0,377.09,3016.7,8.0,,HIGH,Autumn,True
269,Sep,Drawing Room,light,38.0,5.9,1.0,6.73,53.81,8.0,224.2,low,Autumn,False
225,December,DINING ROOM,Fan,63.0,9.1,1.0,17.2,137.59,8.0,573.3,low,,False
301,Jul,dining room,Light,18.0,4.9,1.0,2.65,21.17,7.99,88.2,Low,Summer,False
382,Apr,Living Room, Light  ,14.0,6.9,1.0,2.9,23.18,7.99,96.6,Low,Spring,False
93,SEP,Kitchen, Fridge  ,270.0,18.0,1.0,145.8,1166.4,8.0,4860.0,HIGH,,True
125,Feb, Bedroom  , Fan  ,81.0,16.8,1.0,40.82,326.59,8.0,1360.8,Medium,Winter,False
589,Dec,drawing room,Fan,59.0,14.6,3.0,77.53,620.21,8.0,2584.2,Medium,Winter,False
350,Nov,Bedroom, Computer  ,234.0,2.0,2.0,28.08,224.64,8.0,936.0,Med,Autumn,False
820,March,bedroom,Heater,1469.0,1.1,1.0,48.48,387.82,8.0,1615.9,Medium,,False
987,Oct,Bedroom,Computer,294.0,9.9,2.0,174.64,1397.09,8.0,5821.2,High,Autumn,False
642,Mar,Drawing Room,ac,1922.0,9.1,1.0,524.71,4197.65,8.0,17490.2,HIGH,Spring,True
700,February,BATHROOM,Washing Machine,747.0,0.5,2.0,N/A,179.28,,747.0,,,True
771,Sep,-,fan,81.0,16.2,3.0,118.1,944.78,8.0,3936.6,high,Autumn,False
822,Feb, Kitchen  ,FAN,53.0,8.7,2.0,,221.33,,922.2,,Winter,False
616,Jan,,Light,26.0,4.9,3.0,?,91.73,,382.2,,Winter,False
229,June,Living_Room,Computer,186.0,4.7,,26.23,209.81,8.0,,Med,,False
431,Jan,kitchen,Fridge,114.0,24.0,2.0.0,164.16,1313.28,8.0,,high,Winter,True
912,Apr,dining room, Light  ,10.0,4.4,1.0,1.32,,,44.0,low,Spring,False
421,Jan,Bathroom, Light  ,37.0,5.8,3.0,19.31,154.51,8.0,643.8,low,Winter,False
398,Nov, Bedroom  ,HEATER,,2.9,2.0,162.17,1297.34,8.0,,HIGH,Autumn,False
865,May,Kitchen,microwave,979.0,0.3,2.0,17.62,,,587.4,low,Spring,True
538,Aug,Bedroom,LIGHT,35.0,4.2,1.0,4.41,35.28,8.0,147.0,Low,Summer,False
886,Jun,Dining_Room,LIGHT,26.0,4.6,2.0,7.18,57.41,8.0,239.2,Low,Summer,False
459,Jun,Living Room, TV  ,176.0,4.3,3.0,68.11,,,2270.4,Medium,Summer,False
206,January,dining room, Fan  ,80.0,12.1,1.0,29.04,232.32,8.0,968.0,medium,,False
820,Apr,Bedroom, Computer  ,265.0,9.1,2.0,144.69,1157.52,8.0,4823.0,HIGH,Spring,False
311,February,dining room,Fan,59.0,15.2,1.0,26.9,215.23,8.0,896.8,Medium,,False
998,Jan,مجهول,Fridge,259.0,21.0,1.0,163.17,1305.36,8.0,5439.0,High,Winter,True
633,Nov,Bedroom,AC,1511.0,5.2,2.0,471.43,3771460.0,8000.04,15714.4,high,Autumn,True
177,jul,Bathroom,Heater,1037.0,150.0,1.0.0,46.66,373.32,8.0,,medium,,False
84,Dec,Drawing Room,TV,151.0,2.3,1.0,10.42,83.35,8.0,347.3,Low,Winter,False
344,Sep,KITCHEN,Microwave,806.0,0.2,3.0,14.51,116.06,8.0,483.6,low,Autumn,True
710,January,Kitchen,Microwave,-1033.0,0.3,1.0,9.3,,,-309.9,low,,True
398,May,DRAWING ROOM,tv,190.0,4.5,2.0,51.3,410.4,8.0,1710.0,medium,Spring,False
916,,LIVING ROOM,AC,1035.0,2.6,3.0,242.19,1937.52,8.0,8073.0,HIGH,,True
388,May,Drawing_Room,TV,67.0,3.8,3.0,22.91,183.31,8.0,763.8,Med,Spring,False
318,May,Drawing Room, AC  ,964.0,3.6,1.0,104.11,832.9,8.0,3470.4,HIGH,Spring,True
962,Sep,Drawing Room, Fan  ,56.0,13.8,1.0,23.18,185.47,8.0,772.8,medium,Autumn,False
616,apr,bedroom, Computer  ,379.0,4.6,3.0,156.91,1255.25,8.0,5230.2,HIGH,,False
468,May,BEDROOM,Computer,284.0,10.0,2.0,170.4,1363.2,8.0,5680.0,High,Spring,False
254,apr,Dining Room, Light  ,22.0,6.1,3.0,12.08,96.62,8.0,402.6,low,,False
167,December,Drawing Room, AC  ,1195.0,4.4,3.0,473.22,3785.76,8.0,15774.0,HIGH,,True
430,March,Living Room,Fan,84.0,11.7,2.0.0,58.97,471.74,8.0,,Medium,,False
382,Mar,Living Room,Fan,66.0,11.5,2.0,45.54,364.32,8.0,1518.0,Medium,Spring,False
660,Sep,bedroom,heater,1015.0,1.2,1.0,36.54,292.32,8.0,1218.0,Medium,Autumn,False
886,, Living Room  ,Light,34.0,8.6,1.0,8.77,70.18,8.0,292.4,low,,False
937,Nov,Bathroom,Washing_Machine,527.0,1.2,2.0,37.94,303.55,8.0,1264.8,Medium,Autumn,True
910,Sep,, TV  ,,2.9,3.0,36.54,292.32,8.0,,Med,Autumn,False
547,May,Bedroom,Fan,81.0,,3.0,59.05,472.39,8.0,,Med,Spring,False
370,sep,Dining Room,LIGHT,1300.0,5.7,1.0,2.22,17.78,8.01,7410.0,Low,,False
950,nov,Drawing_Room,AC,1318.0,7.4,,877.79,7022.3,8.0,,high,,True
761,Jul,bedroom,AC,1602.0,5.7,1.0,273.94,2191.54,8.0,9131.4,HIGH,Summer,True
211,Jun,Kitchen,Fridge,257.0,18.4,3.0,425.59,3404.74,8.0,14186.4,High,Summer,True
615,August,Kitchen,Light,16.0,9.0,1.0,4.32,34.56,8.0,144.0,low,,False
783,Dec,Kitchen,WASHING MACHINE,488.0,1.7,3.0,74.66,597.31,8.0,2488.8,Medium,Winter,True
865,Mar,Kitchen,Light,15.0,4.1,2.0,3.69,29.52,8.0,123.0,Low,Spring,False
934,Feb,Living Room,AC,1199.0,5.3,1.0.0,190.64,1525.13,8.0,,High,Winter,True
190,Jan, Living Room  ,Light,37.0,4.8,2.0,10.66,85.25,8.0,355.2,Low,Winter,False
758,Jul,Bedroom,na,1447.0,1.5,1.0,65.11,520.92,8.0,2170.5,Medium,Summer,False
658,November,dining room,LIGHT,17.0,unknown,1.0,2.65,21.22,8.01,,Low,,False
848,aug,LIVING ROOM,FAN,63.0,15.0,3.0,85.05,680.4,8.0,2835.0,Med,,False
562,Nov,living room,TV,86.0,2.1,3.0,16.25,130.03,8.0,541.8,low,Autumn,False
183,August,Bedroom,Computer,193.0,3.3,3.0,57.32,458.57,8.0,1910.7,Med,,False
899,December,Bathroom,washing machine,675.0,0.9,1.0,18.23,145.8,8.0,607.5,low,,True
